Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,,,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity,,
1068387009457190000,rt : the birth of mexico's drug war netflix narcos narcosmexico,netflix,30-11-2018 06:11,30-11-2018 01:11,30-11-2018 11:41,0,0,0.302,0.698,0,-0.5994,0,0,,
1068387052780220000,rt : she-ra tools used cintiq hd clip studio paint shera princessofpower netflix cartoon fanart digitalart https:/...,netflix,30-11-2018 06:11,30-11-2018 01:11,30-11-2018 11:41,0,0,0,1,0,0,0,0,,
1068387150251480000,dear netflix you canceled daredevil why should i still give you money ?,netflix,30-11-2018 06:12,30-11-2018 01:12,30-11-2018 11:42,0,0,0,0.687,0.313,0.4767,0,0,,
1068387198339330000,rt : springsteenbroadway on /! 's memoir borntorun now! :) springsteenonbroadway netflix bruce...,netflix,30-11-2018 06:12,30-11-2018 01:12,30-11-2018 11:42,0.5,1,0,0.754,0.246,0.555,0.5,1,,
1068387209470970000,daredevil is hands down the best superhero tv series season is lovely netflix _/\_ marvel,netflix,30-11-2018 06:12,30-11-2018 01:12,30-11-2018 11:42,0.448148148,0.446296296,0,0.472,0.528,0.9062,0.448148148,0.446296296,,
1068387331252590000,daredevil is the latest marvel show to be cancelled by netflix and the fans are heartbroken,netflix,30-11-2018 06:12,30-11-2018 01:12,30-11-2018 11:42,0.5,0.9,0.279,0.531,0.19,-0.4588,0.5,0.9,,
1068387351838110000,man netflix is going up again smh,netflix,30-11-2018 06:12,30-11-2018 01:12,30-11-2018 11:42,0,0,0.277,0.723,0,-0.3182,0,0,,
1068387546730770000,i'm sure there's some business move behind the scenes that makes sense to netflix it stings though bad...,netflix,30-11-2018 06:13,30-11-2018 01:13,30-11-2018 11:43,-0.2,0.751851852,0,0.881,0.119,0.3182,-0.2,0.751851852,,
1068387589072140000,rt : never mind guys we'll won't cancel you daredevil jessicajones ironfist lukecage netflix,netflix,30-11-2018 06:13,30-11-2018 01:13,30-11-2018 11:43,0,0,0.097,0.78,0.123,0.0951,0,0,,
1068388724566830000,goose bumps all over watching the end of netflix' theeighties season episode tear down this wall odetofreedom,netflix,30-11-2018 06:18,30-11-2018 01:18,30-11-2018 11:48,-0.155555556,0.288888889,0,1,0,0,-0.155555556,0.288888889,,
1068388781437270000,rt : i'm actively so outraged by the cancellation of daredevil i started a petition so we can show our love for th...,netflix,30-11-2018 06:18,30-11-2018 01:18,30-11-2018 11:48,-0.2,0.8,0.158,0.562,0.281,0.363,-0.2,0.8,,
1068388804476780000,rt : daredevil has officially been cancelled by netflix i don't feel so good mr netflix,netflix,30-11-2018 06:18,30-11-2018 01:18,30-11-2018 11:48,0.7,0.6,0.11,0.603,0.287,0.5009,0.7,0.6,,
