Tweet ID , Tweet Retweet count , Tweet Fav count , Tweet Text , Tweet Date , Tweet Time , Tweet Sensitivity , Tweet Verified User , Tweet Followers count , Favorited , Retweeted,,
1076997913291690000,0,FALSE,/) contrary to your assertion  devuan offers proprietary software blobs in our install we have always offered b,24-12-2018,00:28:06,None,FALSE,341,FALSE,FALSE,,
1076998208348340000,0,FALSE,fabio also known as ancient gameplays has really stepped up his game making great performance videos check him o',24-12-2018,00:29:17,FALSE,FALSE,101,FALSE,FALSE,,
1076999689201950000,0,FALSE,this is how to get a cheap bundle fortnite bundle nvidia counterattack,24-12-2018,00:35:10,FALSE,FALSE,28,FALSE,FALSE,,
1077009087978700000,68,FALSE,rt : cudo miner v released with gpu overclocking  bitcoin gold support and brand new hardware stats! [white heavy check mark] cudo miner [beta] v,24-12-2018,01:12:31,None,FALSE,296,FALSE,FALSE,,
1077012162629920000,0,FALSE,flashcrash nvidia wont be the only one though stockmarket technology gaming',24-12-2018,01:24:44,FALSE,FALSE,89,FALSE,FALSE,,
1077020017894610000,0,FALSE,i dont game as much as i used to but treated myself to a evga  ti ftw for christmas :) now back to my macboo',24-12-2018,01:55:56,None,FALSE,26,FALSE,FALSE,,
1077021363439910000,15,FALSE,rt : would you know this was an ai-created city? via artificialintelligence ar vr d nvidia ,24-12-2018,02:01:17,None,FALSE,1658,FALSE,FALSE,,
1077021841410170000,2,FALSE,rt : share a screenshot of your foldingathome progress on this link to qualify to win a factory refurbished zotac nvidia gt,24-12-2018,02:03:11,None,FALSE,2140,FALSE,FALSE,,
1077023809302150000,3,FALSE,rt : buy any dream pc with asus / gigabyte geforce rtx inside between now and jan th and you get battlefield v for free http,24-12-2018,02:11:00,None,FALSE,105,FALSE,FALSE,,
1077026427206280000,0,FALSE,want something to watch? or how about some dungeon master tips? check out my channel and c,24-12-2018,02:21:25,FALSE,FALSE,13,FALSE,FALSE,,
1077040881981680000,0,FALSE,ill put that here ,, fortnite nvidia counterattack',24-12-2018,03:18:51,FALSE,FALSE,28,FALSE,FALSE
1077056993779560000,15,FALSE,rt : would you know this was an ai-created city? via artificialintelligence ar vr d nvidia ,24-12-2018,04:22:52,None,FALSE,25670,FALSE,FALSE,,
1077057021806020000,15,FALSE,rt : would you know this was an ai-created city? via artificialintelligence ar vr d nvidia ,24-12-2018,04:22:59,None,FALSE,1588,FALSE,FALSE,,
1077057259828580000,0,FALSE,this is the season for some fun and games now all i need for christmas is a new power supply unit and probably,24-12-2018,04:23:56,FALSE,TRUE,6523,FALSE,FALSE,,
1077063093727850000,1,FALSE,linked my partner a $  dress made the normal joke about wanting it she said  if i had that money id just b',24-12-2018,04:47:07,None,FALSE,589,FALSE,FALSE,,
1077063870659940000,68,FALSE,rt : cudo miner v released with gpu overclocking  bitcoin gold support and brand new hardware stats! [white heavy check mark] cudo miner [beta] v,24-12-2018,04:50:12,None,FALSE,82,FALSE,FALSE,,
1077064005229780000,1,FALSE,rt : linked my partner a $  dress made the normal joke about wanting it she said  if i had that money id just buy you',24-12-2018,04:50:44,None,FALSE,199,FALSE,FALSE,,
1077070329158250000,15,FALSE,how nvidia built a record-breaking ai supercomputer in under  weeks: datascience,24-12-2018,05:15:52,FALSE,TRUE,217697,FALSE,FALSE,,
1077070456514140000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:16:22,FALSE,FALSE,791,FALSE,FALSE,,
1077070555822590000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:16:46,FALSE,FALSE,3691,FALSE,FALSE,,
1077070611166490000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:16:59,FALSE,FALSE,1413,FALSE,FALSE,,
1077070622184910000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:17:01,FALSE,FALSE,5111,FALSE,FALSE,,
1077070837512050000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:17:53,FALSE,FALSE,1643,FALSE,FALSE,,
1077070993657670000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:18:30,FALSE,FALSE,414,FALSE,FALSE,,
1077071515559050000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:20:34,FALSE,FALSE,1696,FALSE,FALSE,,
1077071614435560000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:20:58,FALSE,FALSE,63363,FALSE,FALSE,,
1077071742663830000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:21:29,FALSE,FALSE,180,FALSE,FALSE,,
1077072356701480000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:23:55,FALSE,FALSE,2410,FALSE,FALSE,,
1077073925299940000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:30:09,FALSE,FALSE,224,FALSE,FALSE,,
1077074180045230000,0,FALSE,live stream right now fortnite fortnitebr cod blackout battleroyale twitch,24-12-2018,05:31:10,FALSE,FALSE,120,FALSE,FALSE,,
1077074638918890000,6,FALSE,how nvidia built a record-breaking ai supercomputer in under  weeks nvidia supercomputer ai technology,24-12-2018,05:32:59,FALSE,FALSE,2547,FALSE,FALSE,,
1077074761023470000,6,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks nvidia supercomputer ai technology artificialin,24-12-2018,05:33:28,None,FALSE,2547,FALSE,FALSE,,
1077074836785020000,6,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks nvidia supercomputer ai technology artificialin,24-12-2018,05:33:46,None,FALSE,3728,FALSE,FALSE,,
1077074897359130000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:34:01,FALSE,FALSE,28023,FALSE,FALSE,,
1077076342754160000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:39:45,FALSE,FALSE,319,FALSE,FALSE,,
1077076422785660000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:40:04,FALSE,FALSE,536,FALSE,FALSE,,
1077078687600690000,15,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks: datascience machinelearni,24-12-2018,05:49:04,FALSE,FALSE,5592,FALSE,FALSE,,
1077080784455040000,1,FALSE,playing firingrange in blackops more videos on the way! amd nvidia gtx pc,24-12-2018,05:57:24,FALSE,FALSE,2,FALSE,FALSE,,
1077084602899020000,1,FALSE,rt : playing firingrange in blackops more videos on the way! amd nvidia gtx pc gaming gamer ,24-12-2018,06:12:35,FALSE,FALSE,5066,FALSE,FALSE,,
1077087431696950000,6,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks nvidia supercomputer ai technology artificialin,24-12-2018,06:23:49,None,FALSE,21533,FALSE,FALSE,,
1077088544953450000,6,FALSE,rt : nvidia  which makes graphics chips that are important for mining cryptocurrencies  forecast a  percent drop in rev,24-12-2018,06:28:15,None,FALSE,15,FALSE,FALSE,,
1077091228288630000,0,FALSE,heh  the price of eth has almost doubled in the last day or two there go all the nvidia and amd graphics cards,24-12-2018,06:38:54,None,FALSE,1593,FALSE,FALSE,,
1077091930956350000,0,FALSE,updates on innovation rt : how nvidia built a record-breaking ai supercomputer in under  weeks,24-12-2018,06:41:42,FALSE,FALSE,1065,FALSE,FALSE,,
1077096694263800000,0,FALSE,ces  preview: nvidia is looking to shake up the gaming laptop scene by via ces,24-12-2018,07:00:38,FALSE,FALSE,26,FALSE,FALSE,,
1077100228556320000,6,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks nvidia supercomputer ai technology artificialin,24-12-2018,07:14:40,None,FALSE,4337,FALSE,FALSE,,
1077100352481170000,6,FALSE,rt : how nvidia built a record-breaking ai supercomputer in under  weeks nvidia supercomputer ai technology artificialin,24-12-2018,07:15:10,None,FALSE,536,FALSE,FALSE,,
1077111530183930000,1,FALSE,a bundle by d virtualand  $ for  games indiegames via buy this total games,24-12-2018,07:59:35,FALSE,FALSE,37,FALSE,FALSE,,
1077112342146690000,1,FALSE,rt : a bundle by d virtualand  $ for  games indiegames via buy this total games winter,24-12-2018,08:02:48,FALSE,FALSE,23315,FALSE,FALSE,,
1077113223994920000,1,FALSE,unsolved stories version  upgraded to nvidia voxel global illumintaion (vxgi)  unrealengine nvidia,24-12-2018,08:06:19,FALSE,FALSE,3035,FALSE,FALSE,,
1077119348408480000,1,FALSE,rt : unsolved stories version  upgraded to nvidia voxel global illumintaion (vxgi)  unrealengine nvidia madh,24-12-2018,08:30:39,None,FALSE,809,FALSE,FALSE,,
1077121955877270000,3,FALSE,rt : buy any dream pc with asus / gigabyte geforce rtx inside between now and jan th and you get battlefield v for free http,24-12-2018,08:41:00,None,FALSE,106,FALSE,FALSE,,
1077122281808240000,0,FALSE,the top  ai nvidia achievements of  ! advancements in  in ai : photos  video  graphics - read more',24-12-2018,08:42:18,FALSE,FALSE,0,FALSE,FALSE,,
1077124248542600000,4,FALSE,[christmas tree]we here at gamma minus are wishing everyone out there happy holidays and we are looking forward to an exciting ye,24-12-2018,08:50:07,FALSE,FALSE,622,FALSE,FALSE,,
1077124321498350000,4,FALSE,rt : [christmas tree]we here at gamma minus are wishing everyone out there happy holidays and we are looking forward to an exciting year,24-12-2018,08:50:24,None,FALSE,1199,FALSE,FALSE,,
1077129503812560000,4,FALSE,rt : the next wave of ai applications and machine learning inferences will follow a similar path as mobile developers will sel,24-12-2018,09:11:00,None,FALSE,3865,FALSE,FALSE,,
1077132218978450000,4,FALSE,rt : [christmas tree]we here at gamma minus are wishing everyone out there happy holidays and we are looking forward to an exciting year,24-12-2018,09:21:47,None,FALSE,112,FALSE,FALSE,,
1077132429968700000,4,FALSE,rt : [christmas tree]we here at gamma minus are wishing everyone out there happy holidays and we are looking forward to an exciting year,24-12-2018,09:22:38,None,FALSE,122,FALSE,FALSE,,
1077133247996440000,0,FALSE,dont buy it! the new gtx  with gddrx is exactly as fast as the old gddr version oh nvidia what have y',24-12-2018,09:25:53,TRUE,FALSE,49,FALSE,FALSE,,
1077133730853120000,0,FALSE,nvidias rtx  is as fast as the gtx  don't buy this shit and skip the entire rtx series - best you can do!',24-12-2018,09:27:48,TRUE,FALSE,49,FALSE,FALSE,,
1077134299353260000,4,FALSE,rt : [christmas tree]we here at gamma minus are wishing everyone out there happy holidays and we are looking forward to an exciting year,24-12-2018,09:30:03,None,FALSE,6814,FALSE,FALSE,,
1077149857952020000,0,FALSE,selling: fortnite nvidia counterattack bundle price: $ fortnite xbox eon skin bundle price: $ dm me for more in,24-12-2018,10:31:53,FALSE,FALSE,40,FALSE,FALSE,,
1077156954592530000,0,FALSE,more nvidia titanrtx benchmark results are now popping up on the dmark hall of fame (top ) listings so ,24-12-2018,11:00:05,None,FALSE,1593,FALSE,FALSE,,
